!DESC: USAP List

198.102.91.7 den-rantrust-r2 ssh
157.132.175.242 den-idf2-s1 ssh
157.132.65.175 mcm-155AFRTS-s1 ssh
157.132.8.34 spo-esa130-s1 ssh
157.132.65.174 mcm-143VMF-s1 ssh
157.132.65.237 mcm-136riggers-s1 ssh
157.132.28.20 spo-esb120-vgw1 ssh
157.132.7.2 spo-rfedge-r2 ssh
157.132.7.37 spo-nppcore-s2 ssh
157.132.37.10 spo-esb208a-s1 ssh
198.102.91.4 den-ran-s1 ssh
157.132.65.159 mcm-070tsite-s1 ssh
157.132.95.22 mcm-092ldb-wrb1 ssh
157.132.65.236 mcm-076coffeehouse-s1 ssh
157.132.65.216 mcm-069mtrs-s1 ssh
157.132.24.6 spo-esb212-s1 ssh
157.132.4.5 spo-femc-s1 ssh
157.132.175.234 den-idf2-s2 ssh
157.132.65.229 mcm-203dorm-nrb1 ssh
157.132.124.69 mcm-084cosray-s1 ssh
157.132.65.228 mcm-189jsocroot-wrb1 ssh
157.132.97.37 mcm-155WFatm-s1 ssh
157.132.98.29 mcm-mrsfhut31-nrb1 ssh
157.132.65.150 mcm-001p2rm205-s1 ssh
157.132.42.6 spo-icicl-s2 ssh
157.132.175.189 den-lancore-s1 ssh
157.132.250.90 den-pth-r1 ssh
157.132.7.101 spo-garage-s1 ssh
157.132.175.202 den-idf1-s3 ssh
157.132.98.27 mcm-mrsfmoc-nrb1 ssh
157.132.65.179 mcm-155REC-s1 ssh
198.102.91.6 den-rantrust-r1 ssh
157.132.224.18 pal-biosf-s1 ssh
157.132.65.218 mcm-kiwiarrivalhts-s1 ssh
157.132.65.117 mcm-155POS-s1 ssh
157.132.65.132 mcm-182telco-s2 ssh
157.132.175.218 den-idf1-s1 ssh
157.132.98.39 mcm-mrsfhut24-nrb1 ssh
157.132.65.118 mcm-155posdist-s1 ssh
198.102.91.8 den-ranuntrust-r1 ssh
157.132.7.7 spo-rfedge-r4 ssh
157.132.250.162 den-wsc-r1 ssh
157.132.65.232 mcm-209dorm-nrb1 ssh
157.132.167.2 den-dtl-s2 ssh
157.132.219.5 wsc-stgt-s1 ssh
157.132.7.33 spo-esb120core-s1 ssh
157.132.250.62 wsc-wsgt-s1 ssh
157.132.8.18 spo-esa112-s1 ssh
192.124.160.2 chc-b52-s2 ssh
199.190.181.119 chc-edge-s2 ssh
157.132.98.41 mcm-mrsfhut25-nrb1 ssh
157.132.165.18 den-execs-wap1 ssh
199.190.181.118 chc-edge-s1 ssh
157.132.185.2 den-dtl-s1 ssh
157.132.98.55 mcm-mrsfhut33a-nrb1 ssh
157.132.65.176 mcm-155galley-s1 ssh
157.132.65.5 mcm-182dist-s1 ssh
157.132.227.2 pal-biocore-s1 ssh
157.132.8.58 spo-esb110-s1 ssh
157.132.65.212 mcm-189noc-s4 ssh
198.102.91.110 198.102.91.110 ssh
157.132.35.15 spo-bif-wb1 ssh
204.238.237.7 puq-edge-s1 ssh
157.132.98.43 mcm-mrsfhut26-nrb1 ssh
204.238.237.6 puq-auth-s3 ssh
157.132.98.36 mcm-mrsfhut20-s1 ssh
157.132.95.32 mcm-095ldb-wap1 ssh
157.132.98.52 mcm-mrsfhut23-s1 ssh
157.132.65.116 mcm-016bfctower-s1 ssh
157.132.98.26 mcm-mrsfhut19-s1 ssh
157.132.65.120 mcm-boresight-s1 ssh
157.132.95.26 mcm-093ldb-wap1 ssh
157.132.95.29 mcm-094ldb-wap1 ssh
157.132.65.135 mcm-140supply-s1 ssh
157.132.7.100 spo-bif-s1 ssh
157.132.65.166 mcm-129helohanger-s1 ssh
157.132.224.17 pal-rfsf-s1 ssh
157.132.8.154 spo-icicldist-s1 ssh
157.132.95.35 mcm-096ldb-wap1 ssh
157.132.175.92 den-entcore-s1 ssh
157.132.35.16 spo-wastie-wb1 ssh
157.132.98.45 mcm-mrsfhut09-nrb1 ssh
157.132.65.234 mcm-208dorm-s1 ssh
157.132.175.93 den-entcore-s2 ssh
157.132.65.171 mcm-141fuels-s1 ssh
192.124.160.16 chc-core-s1 ssh
157.132.95.31 mcm-095ldb-s1 ssh
157.132.36.5 spo-superdarn-s1 ssh
157.132.98.60 mcm-mrsfhut21-nrb1 ssh
157.132.42.5 spo-icicl-s1 ssh
157.132.4.17 spo-altiemeadows-wap1 ssh
157.132.65.219 mcm-155safety-s1 ssh
157.132.175.185 den-lancore-s2 ssh
199.184.189.244 den-pan-s1 ssh
157.132.65.165 mcm-151elecwrhe-s1.usap.gov ssh
157.132.175.154 den-dtlsssv-s1 ssh
157.132.65.169 mcm-144diveshack-s1 ssh
157.132.65.142 mcm-039icepier-s1 ssh
157.132.65.235 mcm-209dorm-s1 ssh
157.132.65.230 mcm-208dorm-nrb1 ssh
157.132.28.5 spo-esb120sf-s1 ssh
157.132.65.184 mcm-159wireless-s1 ssh
157.132.28.6 spo-esb120sf-s2 ssh
157.132.28.10 spo-esb120san-01 ssh
157.132.65.152 mcm-017fleetpos-s1 ssh
157.132.65.5 mcm-182dist-s1 ssh
157.132.37.11 spo-rfsan-01 ssh
157.132.224.5 pal-bio-s1 ssh
157.132.65.165 mcm-121elecwrhse-s1 ssh
157.132.65.168 mcm-136FEMC-s1 ssh
157.132.116.101 mcm-159comms-wap ssh
157.132.75.246 mcm-189voicegateway-vg1 ssh
157.132.65.167 mcm-132autosupply-s1 ssh
157.132.69.1 mcm-189jsocmc-r1 ssh
157.132.227.135 pal-bio-vgw1 ssh
157.132.191.190 den-voip-vg3 ssh
157.132.69.10 mcm-016bfcmc-s1 ssh
157.132.191.174 den-voip-vg2 ssh
157.132.69.66 mcm-bimc-s1 ssh
157.132.65.143 mcm-001p1labs-s1 ssh
157.132.65.127 mcm-189noc-s3 ssh
157.132.65.157 mcm-136femc-s2 ssh
157.132.65.223 mcm-155brddc-s1 ssh
157.132.37.12 spo-rfsan-s2 ssh
157.132.98.65 mcm-mrsfgalley-nrb1 ssh
157.132.216.3 chs-3440-s3 ssh
157.132.37.9 spo-skynet-s1 ssh
157.132.216.2 chs-3440-s2 ssh
157.132.98.46 mcm-mrsfhut09-s1 ssh
192.124.160.168 chc-admin-s3 ssh
157.132.98.51 mcm-mrsfatc71-nrb1 ssh
157.132.33.19 spo-fulie-wb1 ssh
157.132.65.147 mcm-001p1library-s1 ssh
157.132.65.113 mcm-189noc-testr1 ssh
157.132.65.177 mcm-189jsocmcs-r1 ssh
157.132.84.50 mcm-035warmup-s1 ssh
157.132.105.32 mcm-001p2-242-s2 ssh
157.132.95.33 mcm-ldbwx-s1 ssh
157.132.95.36 mcm-ldbfoffice-nrb1 ssh
157.132.65.137 mcm-001p1-s1 ssh
157.132.248.69 den-sf-s2 ssh
